ccc_2018-08-31_cccc-1-rapid-rumble-15-5-stage-1.pgn: CCCC 1: Rapid Rumble (15|5) Stage 1
ccc_2018-09-17_cccc-1-rapid-rumble-15-5-stage-2.pgn: CCCC 1: Rapid Rumble (15|5) Stage 2
ccc_2018-09-25_cccc-1-rapid-rumble-15-5-stage-3.pgn: CCCC 1: Rapid Rumble (15|5) Stage 3
ccc_2018-10-03_cccc-1-rapid-rumble-15-5-bonus-games.pgn: CCCC 1: Rapid Rumble (15|5) Bonus Games
ccc_2018-10-08_2-blitz-battle.pgn: CCC 2: Blitz Battle (5|2)
ccc_2018-10-31_2-blitz-battle-5-2-stage-2.pgn: CCC 2: Blitz Battle (5|2) Stage 2
ccc_2018-11-12_2-blitz-battle-5-2-stage-3.pgn: CCC 2: Blitz Battle (5|2) Stage 3
ccc_2018-11-23_3-rapid-redux.pgn: CCC 3: Rapid Redux (30|5)
ccc_2018-12-23_3-rapid-redux-stage-2.pgn: CCC 3: Rapid Redux Stage 2 (30|5)
ccc_2019-01-06_3-rapid-redux-stage-3.pgn: CCC 3: Rapid Redux Stage 3 (30|5)
ccc_2019-01-27_4-bullet-brawl.pgn: CCC 4: Bullet Brawl (1|2)
ccc_2019-01-31_5-escalation.pgn: CCC 5: Escalation (10|5)
ccc_2019-02-08_5-finals.pgn: CCC 5: Finals (10|5)
ccc_2019-02-16_6-the-winter-classic-stage-1.pgn: CCC 6: The Winter Classic Stage 1 (5|2)
ccc_2019-02-24_6-the-winter-classic-playoffs.pgn: CCC 6: The Winter Classic Playoffs (10|10)
ccc_2019-03-09_6-the-winter-classic-final.pgn: CCC 6: The Winter Classic Final (10|10)
ccc_2019-04-06_7-blitz-bonanza-final.pgn: CCC 7: Blitz Bonanza Final (5|2)
ccc_2019-04-13_8-deep-dive.pgn: CCC 8: Deep Dive (15|5)
ccc_2019-05-13_8-deep-dive-finals.pgn: CCC 8: Deep Dive Finals (15|5)
ccc_2019-06-16_9-the-gauntlet-qualification.pgn: CCC 9: The Gauntlet Qualification (5|2)
ccc_2019-06-23_9-the-gauntlet-quarterfinals.pgn: CCC 9: The Gauntlet Quarterfinals (5|2)
ccc_2019-06-30_9-the-gauntlet-semifinals.pgn: CCC 9: The Gauntlet Semifinals (5|2)
ccc_2019-07-07_9-the-gauntlet-final.pgn: CCC 9: The Gauntlet Final (10|5)
ccc_2019-09-03_10-quarterfinals.pgn: CCC 10 Quarterfinals (10|3)
ccc_2019-09-11_10-semifinals.pgn: CCC 10 Semifinals (10|3)
ccc_2019-09-19_10-finals.pgn: CCC 10 Finals (10|3)
ccc_2019-10-11_11-qualification.pgn: CCC 11 Qualification (30|5)
ccc_2019-10-24_11-round-1.pgn: CCC 11 Round 1 (30|5)
ccc_2019-11-09_11-round-2.pgn: CCC 11 Round 2 (30|5)
ccc_2019-11-28_11-round-3.pgn: CCC 11 Round 3 (30|5)
ccc_2019-12-08_11-semifinals.pgn: CCC 11 Semifinals (30|5)
ccc_2019-12-16_11-finals.pgn: CCC 11 Finals (30|5)
ccc_2020-01-04_12-0-houdini-vs-stoofvlees.pgn: CCC 12.0: Houdini vs Stoofvlees (1|1)
ccc_2020-01-05_12-1-rubichess-vs-winter.pgn: CCC 12.1: RubiChess vs. Winter (1|1)
ccc_2020-01-06_12-2-andscacs-vs-ethereal.pgn: CCC 12.2: Andscacs vs Ethereal (1|1)
ccc_2020-01-06_12-3-dark-allie-vs-fire.pgn: CCC 12.3: Dark Allie vs Fire (1|1)
ccc_2020-01-07_12-8-houdini-vs-lc0-cpu.pgn: CCC 12.8: Houdini vs Lc0-CPU (1|1)
ccc_2020-01-08_12-8-houdini-vs-lc0-cpu.pgn: CCC 12.8: Houdini vs Lc0-CPU! (1|1)
ccc_2020-01-09_12-72-lc0-vs-rofchade.pgn: CCC 12.72: Lc0 vs Rofchade (1|1)
ccc_2020-01-10_12-6-stoofvlees-vs-komodo-mc.pgn: CCC 12.6: Stoofvlees vs Komodo MC (1|1)
ccc_2020-01-11_12-9-leelenstein-vs-rubichess.pgn: CCC 12.9: Leelenstein vs RubiChess (1|1)
ccc_2020-01-12_12-10-stockfish-vs-ethereal.pgn: CCC 12.10: Stockfish vs Ethereal (1|1)
ccc_2020-01-13_12-5-scorpio-vs-xiphos.pgn: CCC 12.5: Scorpio vs Xiphos (1|1)
ccc_2020-01-14_12-4-komodo-vs-laser.pgn: CCC 12.4: Komodo vs Laser (1|1)
ccc_2020-01-15_12-14-stockfish-vs-stoofvlees.pgn: CCC 12.14: Stockfish vs Stoofvlees (1|1)
ccc_2020-01-16_12-13-fire-vs-leelenstein.pgn: CCC 12.13: Fire vs Leelenstein (1|1)
ccc_2020-01-17_12-12-houdini-vs-lc0.pgn: CCC 12.12: Houdini vs Lc0 (1|1)
